,cum_positive_density,cum_deceased_density,cum_recovered_density,air_passengers.tsv,available_hospital_beds_nuts2.tsv,causes_of_death_crude_death_rate_3year_average_by_nuts2.tsv,compensation_of_employees_by_nuts2.tsv,deaths.tsv,early_leavers_from_education_and_training_by_sex_percentage_nuts2.tsv,employment_thousand_hours_worked_nuts2.tsv,farm_labour_force.tsv,health_personnel_by_nuts2.tsv,hospital_discharges_resp_diseases_j00_to_j99_nuts2.tsv,life_expectancy.tsv,longterm_care_beds_per_hundred_thousand_nuts2.tsv,nama_10r_2gdp.tsv,participation_in_education_and_training.tsv,population_nuts2.tsv,pop_density.tsv,pupils_and_students_enrolled_by_sex_age_and_nuts2.tsv,real_growth_rate_of_regional_gross_value_added_GVA_at_basic_prices_by_nuts2.tsv,stock_of_vehicles_by_category_and_nuts2.tsv,students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2.tsv,unemployment_rate_nuts2.tsv,utilised_agricultural_area.tsv,young_people_neither_in_employment_nor_in_education_and_training_by_sex_NEET_RATE_nuts2.tsv
ITC4,0.0849847251616089,0.0033729898733515,0.080591850374596,3.117491521978174,-0.4118871063954648,-0.1612925825665285,5.526463008945629,5.101050134552209,0.16802506219370694,5.544047667975674,-0.10840947083425741,4.232052767586042,3.903231980913171,0.9138293410186878,-0.0431375502626501,6.150003612394354,-0.6128863114102183,5.013451118265231,0.15074092685496376,4.068789876444455,-0.4821979100167165,5.32716604105964,3.5420323953424027,-0.5342814757074431,0.35278985724921264,0.8054193187375613
ITH3,0.0893507104643386,0.002385874703559,0.0845203440857217,0.723850970239159,-0.5374478042816281,-0.1061623324882127,1.7006057637844991,1.9458863695773003,-0.10169937974882275,2.0829547578907657,0.260275791088807,1.3504360395460533,1.2391931536576661,0.9496657857645165,0.07027258780703934,1.9915723636411242,-0.6502798164576337,1.905359802538991,-0.04622517368109078,1.3949215202825687,-0.6780014120406451,2.2904697933128797,0.7113459101177083,-0.36727774215297987,0.20024321075163687,0.25762759681715125
ITH5,0.0881768608766925,0.002975279108823,0.0837477674766286,0.06102186007266978,-0.2894130119360016,0.41059071054133695,1.6607511072299164,2.030752078581774,-0.3328917585567051,1.8514196091961976,0.03745407458317653,1.6556987414152553,1.9254832395181973,0.8421564515270253,-0.5413129223511398,1.9718563467989556,-0.450847789538086,1.6548190283195465,-0.1488063482775665,1.1562447359345078,-0.4999982283825296,2.04035445550661,1.3735486860426236,-0.3881532088472877,0.48834788697177484,0.3636518010598112
ITH1,0.13850714548554,0.0022209956368606,0.1356478248135715,-0.7085742876062238,-0.41514842322367645,-0.8479028456546851,-0.5828515182692067,-0.799340196953146,0.6111437882421482,-0.7122218752173579,-0.3140463530192226,-0.8220120692408834,-1.0624239759645981,1.021338675256179,0.10846619559567015,-0.485582686454786,-0.7126023248699923,-0.7185823275970998,-0.31490844996499356,-0.756652739799454,-0.2329934528953564,-0.4779985997743457,-0.8756608250104595,-0.7847870760391381,-0.4874690644676635,-0.13112781873926868
ITG1,0.0496501746562768,0.0012395160082784,0.0463605241944581,0.7065373965884989,-0.8112819422504323,0.03295506584285062,0.48458903311770624,2.1623742226054516,1.6129774297429724,0.9665894089746426,0.6674816478176138,1.9625408834164242,0.7910688389871655,0.23293689084790184,-1.5388099625473177,0.6494782837343733,-1.0117503652493136,1.9030398128631603,-0.16135685403343997,1.4127509613444258,-1.6570189221602802,2.441534771558726,0.688737770813891,2.1586537278582774,0.8413819916924278,3.208634614904522
AT11,0.0619591354318086,0.0011241831841215,0.0605326794277873,0.0,0.966485155928154,0.443125877982313,-0.8110544958413692,-0.8648733245031799,0.0,-0.9832947236384034,-0.38336681996490124,-0.8927997042463005,-1.1476118625692016,0.08959111186458193,0.04990754150850365,-0.7743434200600291,-0.43838328785561415,-0.8623866733427024,-0.3077367323902087,-0.9348024477079581,-0.28639440799279053,-0.764208306369213,-0.8481515250725417,-0.7012852092619064,-0.5430450736184025,0.0
AT22,0.0650909222196815,0.0016808475643756,0.0629808367331383,-0.6307411952487515,2.213298226913718,-0.07003647362037282,0.02226263986201169,-0.2905783009780012,-1.0264688949803529,-0.3211785895419814,-0.1901827162731717,-0.14443225262716541,-0.08083304088919661,0.19710044610207314,1.1148653218983937,-0.03556094881112345,-0.18909325420617956,-0.28769631377611354,-0.3092735290133769,-0.578699414140327,0.08741227768925097,-0.1360793609813805,-0.09338643967909885,-0.6595342758732905,-0.30925799049159497,-0.6259074385383488
AT33,0.0843797928815232,0.0009080901860264,0.0829305442997542,-0.6216944630709291,1.4214388534637339,-0.9718254888013357,-0.3354803487350779,-0.6892124246423917,-0.6218822320665585,-0.6096916576809968,-0.33164627995632906,-0.4369158479740914,-0.5427521311548837,0.48379200406871803,0.25763101375356695,-0.2924094178376116,-0.22648675925359482,-0.5827575872470566,-0.3300202834261473,-0.7432884109339576,-0.0015893141398067706,-0.5374955998019878,-0.3665681229335583,-0.9517908095936013,-0.4498254841349945,-0.7496023434881188
AT13,0.07405643915234,0.0012374482717844,0.0705580970190839,0.0,1.9256617302255168,-0.7097050146402579,1.0174738462902202,-0.07693165800385696,-0.08243334818149928,0.19515087624821015,-0.43334397098442046,0.8016523864208931,0.11811027133243038,-0.19710044610206803,-0.46146242943927684,0.8447128223936101,0.45906083328235026,0.11363594137188128,5.751212020835588,-0.29054463885712994,-0.12619154270048558,-0.26985210769209955,1.6873594892053925,0.6347446591737999,-0.7535272593743579,-0.2194813222748187
ITF1,0.0588311213571561,0.0019429015697006,0.055810118081118,-0.6569455229362372,-0.7465215080902217,0.4009571481765794,-0.45640581287739945,-0.1719268985052255,-0.5833501689319114,-0.4164479769551452,-0.09404726630539226,-0.28672544997071164,-0.6843544731786084,0.7346471172895342,-1.2622111720422968,-0.3502081764607758,-0.7375313282349356,-0.25899315761502567,-0.2530523858824745,-0.4505444925600565,-1.5146163752337884,-0.06523810537037454,-0.26772577476952597,0.3633635921477972,-0.24999143424941792,0.7700779173233414
