	cum_positive	cum_deceased	cum_recovered	curr_positive	hospitalized	intensive_care	iso3	country_name	EUCountry	EUCPMCountry	date	air_passengers.tsv	available_hospital_beds_nuts2.tsv	causes_of_death_crude_death_rate_3year_average_by_nuts2.tsv	compensation_of_employees_by_nuts2.tsv	deaths.tsv	early_leavers_from_education_and_training_by_sex_percentage_nuts2.tsv	employment_thousand_hours_worked_nuts2.tsv	farm_labour_force.tsv	health_personnel_by_nuts2.tsv	hospital_discharges_resp_diseases_j00_to_j99_nuts2.tsv	life_expectancy.tsv	longterm_care_beds_per_hundred_thousand_nuts2.tsv	nama_10r_2gdp.tsv	participation_in_education_and_training.tsv	population_nuts2.tsv	pop_density.tsv	pupils_and_students_enrolled_by_sex_age_and_nuts2.tsv	real_growth_rate_of_regional_gross_value_added_GVA_at_basic_prices_by_nuts2.tsv	stock_of_vehicles_by_category_and_nuts2.tsv	students_enrolled_in_tertiary_education_by_education_level_programme_orientation_sex_and_nuts2.tsv	unemployment_rate_nuts2.tsv	utilised_agricultural_area.tsv	young_people_neither_in_employment_nor_in_education_and_training_by_sex_NEET_RATE_nuts2.tsv	cum_positive_density	cum_deceased_density	cum_recovered_density
ES53	35569.0	469.0	1533.0	35100.0	3061.0	440.0	ESP	Spain	True	True	2020-12-31	40285.0	287.46	696.86	14678.6	7995.0	21.3	893071.8	8570.0	4400.0	16863.0	84.2	488.01	33799.28	11.3	1210725.0	241.2	72230.0	112.9	894665.0	25261.0	16.1	176280.0	18.2	0.029378265089099506	0.0003873712032046914	0.0012661834851019017
CH06	33740.0	515.0	11583.0	22314.0	36.0	6.0	CHE	Switzerland	False	False	2020-12-31		330.39	732.25		5924.0	4.6		8780.0	2694.0	6416.0	84.4	1217.29		28.2	818962.0	191.9	48410.0			20917.0	2.9	132860.0	5.9	0.041198492726158234	0.0006288448059861142	0.014143513374246913
ITH4	50027.0	1642.0	36587.0	11798.0	707.0	62.0	ITA	Italy	True	True	2020-12-31	780.0	326.82	1174.2	16230.9	14318.0	8.5	927456.7	17660.0	4756.0	15689.0	83.9	738.95	38771.59	8.7	1206216.0	159.9	54321.0	103.3	907472.0	32982.0	5.6	211130.0	11.0	0.04147432963913594	0.001361281893126936	0.030332046664942266
NL13	13497.0	138.0	0.0	13359.0	262.0		NLD	Netherlands	True	True	2020-12-31	177.0		1080.19	7537.0	5143.0	6.5	323908.0	3470.0	1446.0	3841.0	81.9		15701.17	18.1	493682.0	184.5	32859.0	103.4	308291.0	14733.0	3.7	150220.0	5.6	0.02733946143468873	0.000279532168480925	0.0
ES52	148797.0	2941.0	9970.0	145856.0	16193.0	1681.0	ESP	Spain	True	True	2020-12-31	23401.0	231.9	913.8	52296.6	44016.0	15.5	3420227.5	93600.0	19660.0	62636.0	83.5	550.24	116015.25	12.0	5029341.0	216.2	328888.0	110.9	3161734.0	223082.0	16.2	637750.0	12.0	0.029585784698233825	0.000584768461712976	0.001982367073539058
ES43	37208.0	1067.0	2652.0	36141.0	3594.0	311.0	ESP	Spain	True	True	2020-12-31		335.24	1072.25	8806.2	11261.0	18.4	661819.3	54230.0	3265.0	14673.0	83.1	1183.24	20676.92	10.3	1061979.0	26.0	64295.0	108.7	765835.0	32624.0	21.8	2491730.0	16.6	0.03503647435589593	0.0010047279654305781	0.002497224521388841
ES23	18426.0	586.0	3107.0	17840.0	2352.0	220.0	ESP	Spain	True	True	2020-12-31		323.43	1023.22	3649.7	3147.0	14.6	240385.3	8380.0	1100.0	4822.0	84.2	1027.48	8866.58	10.5	315931.0	62.6	20233.0	106.3	194966.0	34712.0	10.8	215840.0	9.1	0.05832286163750946	0.0018548353912721449	0.009834425871471935
ITF2	6528.0	191.0	4425.0	1912.0	61.0	10.0	ITA	Italy	True	True	2020-12-31		300.18	1177.64	2451.7	3663.0	8.6	195985.9	16780.0	1220.0	2114.0	83.6	62.04	6489.57	7.1	300516.0	68.2	12603.0	103.5	254927.0	8407.0	9.5	174200.0	25.5	0.02172263706424949	0.000635573480280584	0.014724673561474264
ITG2	31113.0	747.0	13913.0	16453.0	532.0	46.0	ITA	Italy	True	True	2020-12-31	9097.0	301.25	994.66	14140.3	17003.0	12.0	1033426.6	40650.0	7595.0	16659.0	83.6	121.15	35255.67	8.6	1611621.0	68.3	66624.0	99.6	1237233.0	41592.0	13.3	1134540.0	19.3	0.019305407412785015	0.0004635084799714077	0.008632923001127436
ITH2	21840.0	942.0	19036.0	1862.0	422.0	42.0	ITA	Italy	True	True	2020-12-31		347.06	916.56	7620.8	5074.0	7.9	461538.9	7980.0	1768.0	4697.0	84.9	910.16	20967.26	10.8	545425.0	88.2	27000.0	105.6	791582.0	18288.0	5.3	131410.0	11.6	0.04004216895081817	0.001727093550900674	0.03490122381629005
PT17	133739.0	2392.0	0.0	131347.0			PRT	Portugal	True	True	2020-12-31	31204.0	385.42	1004.82	34367.11	28271.0	7.0	2766459.02	5400.0	18637.0		82.2		76767.6	12.5	2863272.0	1015.9	190780.0	109.7		138832.0	7.7	74370.0	8.5	0.04670845103084862	0.0008354078830093683	0.0
ES24	80023.0	2634.0	3772.0	77389.0	9672.0	887.0	ESP	Spain	True	True	2020-12-31	345.0	362.29	1070.73	17017.9	13620.0	14.2	1045786.8	41880.0	6665.0	17038.0	84.4	1158.27	38044.04	10.9	1330333.0	27.9	82001.0	109.9	792992.0	52720.0	11.7	2261690.0	11.8	0.06015260840706801	0.001979955394626759	0.0028353803145528223
ES11	61143.0	1379.0	9204.0	59764.0	7329.0	857.0	ESP	Spain	True	True	2020-12-31	5248.0	329.67	1199.91	27844.8	31268.0	12.0	1871340.3	74550.0	12831.0	43825.0	84.0	817.79	64429.89	11.6	2702592.0	92.0	139276.0	109.6	1872820.0	99536.0	12.0	655520.0	9.2	0.0226238366723501	0.000510250899876859	0.003405619494174481
NL42	47623.0	1026.0	0.0	46597.0	1953.0		NLD	Netherlands	True	True	2020-12-31	440.0		1053.85	21263.0	12007.0	7.5	838211.0	4140.0	3916.0	9874.0	81.8		45847.99	15.3	1117201.0	517.7	61681.0	107.9	661564.0	49740.0	3.5	97940.0	4.6	0.04262706531770022	0.0009183665249136011	0.0
NL21	54467.0	689.0	0.0	53778.0	896.0		NLD	Netherlands	True	True	2020-12-31			903.93	21914.0	10478.0	6.8	873131.0	8080.0	3066.0	8249.0	81.9		45517.0	17.3	1162406.0	344.9	83080.0	109.8	670236.0	53974.0	3.5	198730.0	4.7	0.04685712221031206	0.0005927361008115925	0.0
NL34	10469.0	128.0	0.0	10341.0	304.0		NLD	Netherlands	True	True	2020-12-31			1026.48	6305.0	3934.0	7.4	267651.0	3010.0	628.0	2636.0	82.6		14390.68	17.7	383488.0	212.6	24497.0	106.1	236250.0	10586.0	2.6	122180.0	3.5	0.027299420060080105	0.0003337783711615487	0.0
PT15	7698.0	71.0	0.0	7627.0			PRT	Portugal	True	True	2020-12-31	9061.0	277.45	1208.45	3665.36	5117.0	19.9	445006.4	11220.0	1838.0		80.7		10157.64	9.4	438406.0	88.9	29808.0	115.3		8344.0	8.3	92230.0	12.8	0.017559066253655286	0.00016195033827091782	0.0
NO05	6493.0	0.0	0.0	6493.0			NOR	Norway	False	True	2020-12-30	7976.0	333.64	761.89	27655.54	6957.0	10.3		9020.0	4465.0		83.6	891.7	49689.26	16.8	905335.0	19.1	77313.0		453660.0	51601.0	4.3	137700.0	4.5	0.0071719308322333725	0.0	0.0
NO07	1640.0	0.0	0.0	1640.0			NOR	Norway	False	True	2020-12-30	5627.0	434.19	847.55	13803.07	4305.0	14.5		3520.0	2887.0		81.8	942.77	26040.3	16.1	484547.0	4.5	38764.0		260504.0	24994.0	3.5	89210.0	6.8	0.003384604589441272	0.0	0.0
NO03	2165.0	0.0	0.0	2165.0			NOR	Norway	False	True	2020-12-30	2056.0	301.09	844.51	25360.56	8632.0	11.1		7460.0	4210.0		82.7	727.93	44598.68	14.8	1011472.0	29.4	83135.0		569021.0	26945.0	4.7	189030.0	5.3	0.0021404448170587024	0.0	0.0
NO01	29222.0	0.0	0.0	29222.0			NOR	Norway	False	True	2020-12-30	28472.0	363.8	598.62	53983.33	7845.0	8.0		2200.0	7517.0		83.8	680.53	98928.53	17.3	1326682.0	259.8	108179.0		692621.0	91884.0	5.1	77320.0	5.2	0.022026378589594192	0.0	0.0
HR04	142188.0	2922.0	0.0	139267.0			HRV	Croatia	True	True	2020-12-28	3410.0	579.08	1320.16	16483.53	35136.0	2.6	1962213.7	115910.0	9642.0	27981.0	77.9	229.45	36691.62	3.4	2684363.0	85.8	106492.0	109.6	1225400.0	114300.0	7.5	1103790.0	13.6	0.05296899115358094	0.0010885264027257118	0.0
