nuts,cum_positive,cum_deceased,cum_recovered,curr_positive,hospitalized,intensive_care,iso3,country_name,EUCountry,EUCPMCountry,date
RU32,15001.0,234.0,11384.0,3383.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU57,15740.0,17.0,13320.0,2403.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU61,17052.0,333.0,13722.0,2997.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU17,40519.0,1220.0,35808.0,3491.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU48,30111.0,871.0,27440.0,1800.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU02,32912.0,877.0,30596.0,1439.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU21,14782.0,200.0,12442.0,2140.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU40,9185.0,120.0,8170.0,895.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU73,18563.0,501.0,16759.0,1303.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
SI04,494.0,0.0,0.0,0.0,0.0,0.0,SVN,Slovenia,True,True,2020-04-15
RU36,20798.0,303.0,18887.0,1608.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU25,27545.0,160.0,21202.0,6183.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RO42,57492.0,0.0,0.0,57492.0,nan,nan,ROU,Romania,True,True,2020-12-30
RO21,67678.0,0.0,0.0,67678.0,nan,nan,ROU,Romania,True,True,2020-12-30
RO11,77862.0,0.0,0.0,77862.0,nan,nan,ROU,Romania,True,True,2020-12-30
RO22,70337.0,0.0,0.0,70337.0,nan,nan,ROU,Romania,True,True,2020-12-30
RO41,44058.0,0.0,0.0,44058.0,nan,nan,ROU,Romania,True,True,2020-12-30
RU79,3750.0,72.0,2941.0,737.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU24,15126.0,41.0,13530.0,1555.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
RU81,538.0,4.0,477.0,57.0,nan,nan,RUS,Russian Fed.,False,False,2020-12-31
MT00,12774.0,219.0,11121.0,1434.0,nan,nan,MLT,Malta,True,True,2020-12-31
SK03,46279.0,0.0,0.0,46279.0,nan,nan,SVK,Slovakia,True,True,2020-12-31
SE23,84171.0,0.0,0.0,84171.0,nan,nan,SWE,Sweden,True,True,2020-12-29
SE32,14584.0,0.0,0.0,14584.0,nan,nan,SWE,Sweden,True,True,2020-12-29
SE33,15924.0,0.0,0.0,15924.0,nan,nan,SWE,Sweden,True,True,2020-12-29
UKM8,41341.0,nan,0.0,41341.0,nan,nan,GBR,United Kingdom,False,True,2020-12-31
FI1B,21254.0,0.0,0.0,21254.0,nan,nan,FIN,Finland,True,True,2020-12-31
CH05,55714.0,998.0,847.0,54095.0,360.0,53.0,CHE,Switzerland,False,False,2020-12-31
CH03,47797.0,775.0,39956.0,7066.0,394.0,59.0,CHE,Switzerland,False,False,2020-12-31
CH02,93143.0,1717.0,695.0,90731.0,477.0,69.0,CHE,Switzerland,False,False,2020-12-31
CH01,123567.0,2050.0,1357.0,121517.0,466.0,60.0,CHE,Switzerland,False,False,2020-12-31
SK01,18925.0,0.0,0.0,18925.0,nan,nan,SVK,Slovakia,True,True,2020-12-31
SK04,50865.0,0.0,0.0,50865.0,nan,nan,SVK,Slovakia,True,True,2020-12-31
SE22,71451.0,0.0,0.0,71451.0,nan,nan,SWE,Sweden,True,True,2020-12-29
SE12,67440.0,0.0,0.0,67440.0,nan,nan,SWE,Sweden,True,True,2020-12-29
SE31,31059.0,0.0,0.0,31059.0,nan,nan,SWE,Sweden,True,True,2020-12-29
SK02,63474.0,0.0,0.0,63474.0,nan,nan,SVK,Slovakia,True,True,2020-12-31
UKM9,12679.0,0.0,0.0,12679.0,nan,nan,GBR,United Kingdom,False,True,2020-12-31
BG31,16645.0,20.0,27.0,16598.0,nan,nan,BGR,Bulgaria,True,True,2020-12-31
